,text,label
12645,"Three straws and one jar. Whiskey in the jar at capitol_pdx @ Capitol Bar
",15
14270,"These guys #thatcitymusic #summernights #littleman #bigheart @ Bellevue Downtown Park
",15
69713,"Siri’s brother in basic training #army #medic #soldier in #training #armystrong #armyson…
",15
17351,"Finalllllly reunited w my #womancrusheveryday @ University of…
",15
24142,"Sandwich + Forts + 2018 = BLISS #fortlife @ East Side, Charleston, South Carolina
",15
44208,"In Albuquerque supporting Kelsey in the North vs South game #SouthWithTheWin#DirtySouth @user
",15
14610,"A whole new year, and same us @ Gateway Arch, St Louis
",15
60722,"Stella Hope, welcome to the fam @ Madison, Alabama
",15
51902,"it’s semi szn @ Virginia Commonwealth University
",15
48146,"Finally made it here! @ Niagara Falls State Park, USA
",15
45672,"Soul Sista @ North Wildwood Beach
",15
52729,"scouting for the perfect rug @ 503 Found
",15
744,"I love hiking! @ Santa Rosa Plateau Ecological Reserve
",15
29886,"My favorite from the @user x miabossi bag collection It's a great size and the chain can be…
",15
31077,"Suite mates/Girlfriends date night! @ National Christmas Tree
",15
11986,"Loving being together @ Klipsch Music Center
",15
1093,"#LatePost // We hope your Holidays was although draining, but amazing! Happy Holidays &amp; we…
",15
61888,"Thanks for supporting me in everything you've always believed in…
",15
48141,"You're gonna wish you went Zeta! I miss you crazy ppl @ Zeta Tau…
",15
16955,"girls on the run is always so much fun... thanks to everyone who came out to support #GOTRC ! …
",15
45766,"SO SO SO PROUD OF BEAVER TENNIS FOR PLACING SECOND AT STATES THAT IS SO FREAKING EXCITING @user @user @user #BHS10S
",15
23710,"A little sweetness on this Sunday #averylouisephotography @ Swan Lake Resort
",15
13388,"A year ago today my best friend asked me to marry him @ Grand…
",15
3171,"I still can't believe I got to see Michelle Obama yesterday just…
",15
3662,"Bestfriends @ Club Legends
",15
14555,"Just throwing these here #rl6 #toronto @ The Beach, Queen St East, Toronto
",15
56045,"well that was easy, I said yes to the dress! Thank you ladies for joining me today @ New York…
",15
38053,"It's breast cancer awareness month! Having loved ones who have beaten the disease, as well as…
",15
36535,"(at @user in Anaheim, CA)
",15
29102,"my little pickle came back to visit!! || #dogs #dogsofinstagram #dog @ Wilmington, North…
",15
39885,"wanna stay right here with you, yes I do @ Hollywood Casino…
",15
10754,"Two mile hike in the rain and sushi afterwards. Thank you for the wonderful day @ Sacramento…
",15
6921,"Princess Sienna Capri is Pretty in Pink @user #lillypulitzerkids #makeitsunny…
",15
51505,"Thanks for the random trip @ Miami University
",15
14467,"I may have gotten destroyed by a law exam today, but at least I got some puppy love after dog…
",15
17866,"Beach appreciation post I miss it @ Beachfront At Harbor Island
",15
7338,"Brunch, Bridesmaids and dress shopping #itskramertime @ The Bistro…
",15
43816,"Missed them! @ Downtown Hayward
",15
25223,"We love our Ty Ty @ Burgess Falls State Park
",15
59998,"Gotta love this 2 dollar wine &amp; waiting for a home cooked meal! …
",15
42172,"New Orleans adventures @ Audubon Aquarium of Americas, New Orleans, La
",15
55656,"Happy Father's Day to my hero. Love you Dad! @ Mandalay Bay Resort and Casino
",15
35773,"What a beautiful windy day! #cousinlove #justswinging #blusteryjanuaryday #lovetheburg @ Bay…
",15
48279,"God’s beauty. @ Niagara Falls State Park, USA
",15
46870,"think about time for me deactivate account on Facebook today afternoon or night so Hit me up before I close these page ..!*Mickey D*
",15
56839,"Thinking about you guys on my adventure to #Texas! I'm so excited to check out #austintexas…
",15
55612,"Wanderlust @ Las Vegas McCarran International Airport (United…
",15
14185,"Here's to the good timesss @ Snowden Grove Ampitheater
",15
35455,"Special day for Kaley! @ Prince of Peace Christian School and…
",15
30059,"(@ World of Coca-Cola in Las Vegas, NV)
",15
19150,"Training with friends (inside on a rainy day!)@LJP4U #my_kona_girl the_perfect_biscuit…
",15
54158,"We're pleased to announce that we've launched Shop Soto! is the new home for Fine…
",15
10781,"Sebastien Izambard ...!!!!Repost from my_il_divoSo magical &amp; beautiful moment of our amazing…
",15
35336,"Impromptu beach trip @ Oxnard, California
",15
28047,"Better than sisters... Just as close but never had to share a bathroom. @ Cobblestone Farm and…
",15
42299,"Lilly’s can’t get any prettier #flowers #family #holidayseason #hiatus #homesweethome @user
",15
9665,"8 years with this guy today excited for many years to come, happy…
",15
40199,"love these tiny #kalachoe... would make super cute place cards at a wedding or party favors! …
",15
10175,"Happy New Years @ North Olmsted, Ohio
",15
8999,"Nighttime snackings @ 2nd Avenue
",15
47594,"Blushing One of my fav looks from #nyfw is on the blog today! Loving monochromatic looks…
",15
61053,"pink houses make me happy. @ Uptown New Orleans Historic District
",15
66725,"we were so close we could've kissed, literally ! …
",15
34928,"Look how happy we are without boys @ Los Angeles, California
",15
11507,"Just breathe. #TheBazaarTraveler #gulfofmexico #florida #adventure @ Naples Beach, FL
",15
42791,"I want a little fire, now give me the light. Love them so much. #corked #poppinatcorkedlounge…
",15
32248,"A lovely #fbf to these beautiful &amp; romantic #blooms by our fav @user and stunning…
",15
60833,"Adults are only kids grown up @ Disney's Hollywood Studios
",15
66977,"Happy 8 months my love (@ Ikinari Steak in New York, NY)
",15
49968,"On the way to see @user with my two J's @user @user and and friends.…
",15
61936,"Everyone is beautiful in their own way #ucahomecoming2k16 @ University of Central Arkansas
",15
21301,"you should go &amp; love yourself @user @user teddysphotos @ Warner Brothers Studios
",15
15063,"Thank you for always being there to crack me up and to make me smile! I love y'all so much @user
",15
68924,"so much happiness when I'm with you ily mom @ The Melting Pot -…
",15
10412,"Finally got our PhotoPass pictures downloaded! #Disney #disneylove #disneycouple #disneyworld…
",15
49221,"Been with this guy for a year and it still feels like our spring break trip was only yesterday …
",15
21823,"Milk tea buddy @ DING TEA San Jose
",15
13385,"missing my beautiful family today @ Frederick, Maryland
",15
32161,"Falling in love is like a polariod. @ Anderson University
",15
12430,"Reunited and it feels so good #hoogenraadkids #mamaluvz #happyanniversary #hoogenraadvaycay…
",15
13249,"Happy Birthday Ma! @ Washington Monument National Monument
",15
18430,"A second galley opening for ""Imouto"" show of photos of #kamisu #Eureka's #sistercity @ Studio 424
",15
28614,"The upside to last week. Channeling my little girl against the world!…
",15
